num;cartoprox_domaine;code_domaine;OccupSol;emis_profil;recepteurs;xc;yc;xb;yb;rues;noeuds;ponct
1;a7_paca;650500_4858500;URBAINE;1;520;650500;4858500;649765;4.85963e+06;570;525;1
2;a7_paca;650500_4861500;URBAINE;1;3848;650500;4861500;650220;4.86088e+06;645;601;1
3;a7_paca;650500_4864500;URBAINE;1;4703;650500;4864500;650533;4.86448e+06;1066;993;1
4;a7_paca;653500_4858500;URBAINE;1;7765;653500;4858500;653542;4.8587e+06;822;773;1
5;a7_paca;653500_4861500;URBAINE;1;12952;653500;4861500;653588;4.86132e+06;975;924;1
6;a7_paca;653500_4864500;URBAINE;1;3096;653500;4864500;653592;4.8645e+06;1215;1145;1
7;a7_paca;656500_4858500;URBAINE;1;6712;656500;4858500;656635;4.85881e+06;875;841;1
8;a7_paca;656500_4861500;URBAINE;1;9165;656500;4861500;656517;4.86146e+06;936;897;1
9;a7_paca;656500_4864500;URBAINE;1;6226;656500;4864500;656593;4.8648e+06;937;892;1
