i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
4369	01/07/2008	00:00	2.90	330.0	1.58	22.90	161.3	0.25	7.19	1.0	-25.51	90.00	0.088	0.00e+00	4.27e-04
4370	01/07/2008	01:00	1.90	340.0	1.05	22.30	127.9	0.16	8.82	1.0	-8.56	90.00	0.044	0.00e+00	4.23e-04
4371	01/07/2008	02:00	3.00	340.0	1.63	21.70	164.3	0.25	7.07	1.0	-26.78	90.00	0.089	0.00e+00	4.20e-04
4372	01/07/2008	03:00	1.70	20.0	1.00	20.30	120.2	0.15	9.30	1.0	-6.45	90.00	0.037	0.00e+00	4.12e-04
4373	01/07/2008	04:00	2.40	360.0	1.31	19.70	145.5	0.21	7.88	1.0	-15.61	90.00	0.064	0.00e+00	4.09e-04
4374	01/07/2008	05:00	1.20	360.0	1.00	20.00	423.1	0.15	11.52	1.0	7.49	-37.21	-0.043	1.31e-03	4.11e-04
4375	01/07/2008	06:00	1.50	20.0	1.00	20.60	710.4	0.25	9.32	2.0	65.18	-20.25	-0.224	3.51e-03	4.14e-04
4376	01/07/2008	07:00	1.00	300.0	1.00	22.60	906.1	0.20	11.46	2.0	118.91	-6.30	-0.497	5.39e-03	4.25e-04
4377	01/07/2008	08:00	1.00	350.0	1.00	24.20	1125.9	0.21	11.51	2.0	167.62	-5.05	-0.676	6.88e-03	4.34e-04
4378	01/07/2008	09:00	1.20	310.0	1.00	26.30	1349.5	0.24	10.53	3.0	206.33	-6.14	-0.732	7.80e-03	4.46e-04
4379	01/07/2008	10:00	1.40	140.0	1.00	27.80	1567.5	0.27	9.76	3.0	235.90	-7.47	-0.754	8.49e-03	4.54e-04
4380	01/07/2008	11:00	1.00	240.0	1.00	28.80	1765.7	0.22	11.55	4.0	245.14	-3.96	-0.959	8.45e-03	4.60e-04
4381	01/07/2008	12:00	3.20	200.0	2.09	30.40	1952.3	0.47	6.44	4.0	249.78	-36.73	-0.464	8.55e-03	4.69e-04
4382	01/07/2008	13:00	2.30	220.0	1.50	31.30	2121.7	0.37	7.61	3.0	251.65	-18.54	-0.588	8.85e-03	4.74e-04
4383	01/07/2008	14:00	2.90	170.0	1.90	32.20	2268.2	0.44	6.76	3.0	232.14	-31.59	-0.468	8.49e-03	4.79e-04
4384	01/07/2008	15:00	3.70	210.0	2.27	32.20	2390.0	0.49	6.17	3.0	202.35	-51.77	-0.362	7.80e-03	4.79e-04
4385	01/07/2008	16:00	3.80	180.0	2.23	32.00	2484.3	0.47	6.23	3.0	163.55	-58.04	-0.302	6.74e-03	4.78e-04
4386	01/07/2008	17:00	4.30	180.0	2.39	32.20	2551.1	0.49	5.99	3.0	118.29	-88.64	-0.212	5.28e-03	4.79e-04
4387	01/07/2008	18:00	5.40	170.0	2.98	31.00	2592.4	0.58	5.35	3.0	69.23	-243.84	-0.105	3.44e-03	4.72e-04
4388	01/07/2008	19:00	3.30	160.0	1.83	29.20	2603.4	0.36	6.83	3.0	18.90	-210.00	-0.046	1.28e-03	4.62e-04
4389	01/07/2008	20:00	5.00	170.0	2.78	28.00	346.6	0.48	5.47	4.0	-43.34	221.57	0.079	0.00e+00	4.55e-04
4390	01/07/2008	21:00	5.30	170.0	2.95	27.10	381.3	0.51	5.32	4.0	-46.52	253.01	0.079	0.00e+00	4.50e-04
4391	01/07/2008	22:00	5.70	190.0	3.17	26.40	428.9	0.55	5.13	4.0	-50.68	298.16	0.079	0.00e+00	4.46e-04
4392	01/07/2008	23:00	5.00	190.0	2.78	25.60	345.0	0.48	5.47	4.0	-43.65	219.41	0.079	0.00e+00	4.42e-04
4393	02/07/2008	00:00	4.00	200.0	2.22	24.80	245.2	0.37	6.10	5.0	-30.94	140.62	0.072	0.00e+00	4.37e-04
4394	02/07/2008	01:00	3.60	190.0	1.96	24.00	194.4	0.31	6.46	5.0	-26.42	101.70	0.072	0.00e+00	4.33e-04
4395	02/07/2008	02:00	2.20	210.0	1.21	23.30	138.7	0.19	8.21	5.0	-12.48	90.00	0.056	0.00e+00	4.29e-04
4396	02/07/2008	03:00	2.50	180.0	1.37	22.00	148.8	0.21	7.72	5.0	-17.35	90.00	0.069	0.00e+00	4.22e-04
4397	02/07/2008	04:00	2.60	140.0	1.42	21.40	152.0	0.22	7.58	5.0	-18.94	90.00	0.072	0.00e+00	4.18e-04
4398	02/07/2008	05:00	1.00	0.0	1.00	21.80	423.9	0.15	12.18	4.0	15.52	-18.07	-0.090	1.21e-03	4.21e-04
4399	02/07/2008	06:00	2.10	180.0	1.27	22.60	836.2	0.29	8.27	2.0	65.16	-33.03	-0.191	3.50e-03	4.25e-04
4400	02/07/2008	07:00	3.00	200.0	1.79	24.70	1130.1	0.39	6.96	1.0	115.96	-45.82	-0.254	5.41e-03	4.37e-04
4401	02/07/2008	08:00	5.30	180.0	2.95	26.60	1712.4	0.59	5.40	1.0	164.16	-112.60	-0.239	6.91e-03	4.47e-04
4402	02/07/2008	09:00	6.00	170.0	3.34	27.60	1921.7	0.67	5.07	1.0	204.98	-127.43	-0.266	8.01e-03	4.53e-04
4403	02/07/2008	10:00	6.80	170.0	3.77	28.70	2146.4	0.74	4.77	1.0	235.58	-154.52	-0.275	8.71e-03	4.59e-04
4404	02/07/2008	11:00	7.50	190.0	4.15	30.10	2338.8	0.81	4.54	1.0	253.86	-185.51	-0.273	9.09e-03	4.67e-04
4405	02/07/2008	12:00	10.00	180.0	5.51	31.60	3018.3	1.05	3.93	1.0	259.04	-390.74	-0.217	9.20e-03	4.76e-04
4406	02/07/2008	13:00	9.60	190.0	5.29	31.90	3147.6	1.01	4.01	1.0	252.19	-358.02	-0.220	9.09e-03	4.77e-04
4407	02/07/2008	14:00	7.40	190.0	4.09	30.90	3244.0	0.79	4.57	5.0	208.12	-212.02	-0.230	7.39e-03	4.72e-04
4408	02/07/2008	15:00	10.60	210.0	5.84	31.90	3345.6	1.10	3.81	4.0	195.75	-599.03	-0.156	7.44e-03	4.77e-04
4409	02/07/2008	16:00	11.30	190.0	6.23	30.60	3432.5	1.16	3.69	4.0	158.87	-880.16	-0.119	6.43e-03	4.70e-04
4410	02/07/2008	17:00	9.60	200.0	5.30	30.40	3488.4	0.99	4.00	5.0	107.83	-801.86	-0.095	4.60e-03	4.69e-04
4411	02/07/2008	18:00	9.50	200.0	5.26	28.80	3526.0	0.98	4.01	5.0	64.30	-1289.41	-0.057	2.99e-03	4.60e-04
4412	02/07/2008	19:00	8.10	210.0	4.50	27.70	3541.4	0.83	4.34	5.0	20.12	-2545.02	-0.021	1.10e-03	4.53e-04
