i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
745	01/02/2008	00:00	1.80	170.0	1.00	1.40	124.1	0.16	9.05	7.0	-7.53	90.00	0.038	0.00e+00	3.18e-04
746	01/02/2008	01:00	2.40	200.0	1.31	2.00	145.5	0.21	7.88	7.0	-14.54	90.00	0.056	0.00e+00	3.21e-04
747	01/02/2008	02:00	4.10	170.0	2.28	1.90	288.0	0.39	6.03	7.0	-27.48	189.65	0.056	0.00e+00	3.21e-04
748	01/02/2008	03:00	2.70	170.0	1.47	1.60	155.2	0.23	7.44	7.0	-16.31	90.00	0.056	0.00e+00	3.19e-04
749	01/02/2008	04:00	3.70	160.0	2.06	2.00	240.2	0.34	6.34	7.0	-24.19	147.13	0.056	0.00e+00	3.21e-04
750	01/02/2008	05:00	4.20	180.0	2.34	2.80	300.8	0.40	5.96	7.0	-28.21	201.81	0.056	0.00e+00	3.25e-04
751	01/02/2008	06:00	3.20	180.0	1.73	2.80	170.2	0.27	6.86	6.0	-22.28	90.00	0.065	0.00e+00	3.25e-04
752	01/02/2008	07:00	5.00	190.0	2.80	3.70	402.1	0.49	5.46	7.0	-34.45	304.01	0.056	0.00e+00	3.30e-04
753	01/02/2008	08:00	6.10	180.0	3.40	3.60	1810.9	0.63	4.98	8.0	1.31	-16895.76	-0.002	3.49e-04	3.29e-04
754	01/02/2008	09:00	6.30	190.0	3.51	4.60	1878.6	0.65	4.91	8.0	14.84	-1660.41	-0.018	8.12e-04	3.34e-04
755	01/02/2008	10:00	7.90	190.0	4.39	5.70	2348.7	0.81	4.39	8.0	25.13	-1916.45	-0.025	1.13e-03	3.40e-04
756	01/02/2008	11:00	9.00	180.0	4.98	6.80	2680.9	0.93	4.13	7.0	68.91	-1039.37	-0.059	2.75e-03	3.45e-04
757	01/02/2008	12:00	5.90	190.0	3.26	8.00	2719.6	0.62	5.11	7.0	73.06	-297.75	-0.094	2.87e-03	3.51e-04
758	01/02/2008	13:00	7.40	180.0	4.10	8.30	2760.4	0.77	4.55	7.0	68.60	-594.71	-0.071	2.75e-03	3.53e-04
759	01/02/2008	14:00	6.50	180.0	3.60	8.00	2791.6	0.68	4.86	7.0	55.76	-502.11	-0.066	2.36e-03	3.51e-04
760	01/02/2008	15:00	8.00	180.0	4.44	8.10	2818.5	0.82	4.37	7.0	35.24	-1424.71	-0.034	1.70e-03	3.52e-04
761	01/02/2008	16:00	8.50	180.0	4.73	8.30	2835.3	0.87	4.23	7.0	8.58	-6919.13	-0.008	7.30e-04	3.53e-04
762	01/02/2008	17:00	7.20	190.0	4.05	7.90	710.1	0.73	4.55	7.0	-50.61	686.26	0.056	0.00e+00	3.51e-04
763	01/02/2008	18:00	9.90	190.0	5.53	7.70	1108.7	1.01	3.91	7.0	-69.79	1302.23	0.056	0.00e+00	3.50e-04
764	01/02/2008	19:00	10.30	190.0	5.73	7.60	1167.6	1.04	3.84	7.0	-72.48	1403.33	0.056	0.00e+00	3.49e-04
765	01/02/2008	20:00	10.30	190.0	5.73	8.20	1168.4	1.04	3.84	7.0	-72.32	1406.07	0.056	0.00e+00	3.52e-04
766	01/02/2008	21:00	10.00	180.0	5.58	7.40	1123.1	1.01	3.89	7.0	-70.53	1326.01	0.056	0.00e+00	3.48e-04
767	01/02/2008	22:00	10.60	180.0	5.90	6.80	1213.9	1.07	3.78	7.0	-74.83	1482.79	0.056	0.00e+00	3.45e-04
768	01/02/2008	23:00	12.10	190.0	6.73	7.00	1459.3	1.23	3.54	7.0	-85.48	1938.99	0.056	0.00e+00	3.46e-04
769	02/02/2008	00:00	7.30	240.0	4.11	6.60	723.2	0.74	4.52	7.0	-51.58	703.07	0.056	0.00e+00	3.44e-04
770	02/02/2008	01:00	4.50	330.0	2.53	6.00	381.8	0.44	5.75	8.0	-25.03	309.31	0.045	0.00e+00	3.41e-04
771	02/02/2008	02:00	5.70	350.0	3.20	4.40	495.2	0.57	5.12	7.0	-39.79	408.58	0.056	0.00e+00	3.33e-04
772	02/02/2008	03:00	2.70	340.0	1.47	3.70	155.2	0.23	7.44	7.0	-16.19	90.00	0.056	0.00e+00	3.30e-04
773	02/02/2008	04:00	1.00	60.0	1.00	3.30	88.9	0.09	11.99	7.0	-1.71	90.00	0.015	0.00e+00	3.28e-04
774	02/02/2008	05:00	1.60	110.0	1.00	3.20	116.2	0.14	9.57	8.0	-5.58	90.00	0.032	0.00e+00	3.27e-04
775	02/02/2008	06:00	1.70	110.0	1.00	2.30	120.2	0.15	9.30	7.0	-6.51	90.00	0.035	0.00e+00	3.23e-04
776	02/02/2008	07:00	1.00	160.0	1.00	2.50	88.9	0.09	11.99	7.0	-1.71	90.00	0.015	0.00e+00	3.24e-04
777	02/02/2008	08:00	1.10	80.0	1.00	2.70	397.0	0.14	12.06	7.0	7.51	-30.95	-0.043	7.58e-04	3.25e-04
778	02/02/2008	09:00	1.00	0.0	1.00	3.50	513.2	0.18	11.32	7.0	35.66	-14.09	-0.158	1.73e-03	3.29e-04
779	02/02/2008	10:00	1.50	20.0	1.00	4.10	692.0	0.24	9.39	7.0	57.00	-21.61	-0.188	2.39e-03	3.32e-04
780	02/02/2008	11:00	2.70	350.0	1.53	5.90	963.9	0.33	7.51	7.0	69.94	-47.60	-0.167	2.77e-03	3.41e-04
781	02/02/2008	12:00	5.00	360.0	2.76	5.90	1555.6	0.54	5.56	7.0	74.44	-187.97	-0.110	2.90e-03	3.41e-04
782	02/02/2008	13:00	7.30	350.0	4.03	6.80	2206.1	0.76	4.59	6.0	95.55	-417.72	-0.100	3.80e-03	3.45e-04
783	02/02/2008	14:00	4.30	360.0	2.38	6.90	2263.3	0.48	6.01	4.0	97.16	-103.29	-0.161	4.24e-03	3.46e-04
784	02/02/2008	15:00	5.30	20.0	2.93	6.00	2301.4	0.56	5.40	3.0	60.77	-263.25	-0.086	3.21e-03	3.41e-04
785	02/02/2008	16:00	4.30	10.0	2.40	5.60	2309.4	0.45	5.95	3.0	9.92	-812.60	-0.018	1.41e-03	3.39e-04
786	02/02/2008	17:00	3.00	360.0	1.63	4.90	164.3	0.25	7.07	3.0	-26.87	90.00	0.084	0.00e+00	3.36e-04
787	02/02/2008	18:00	3.00	360.0	1.63	3.80	164.3	0.25	7.07	3.0	-26.98	90.00	0.084	0.00e+00	3.30e-04
788	02/02/2008	19:00	2.20	10.0	1.21	2.40	138.7	0.19	8.21	3.0	-12.60	90.00	0.052	0.00e+00	3.23e-04
789	02/02/2008	20:00	2.90	360.0	1.58	1.90	161.3	0.25	7.19	3.0	-25.76	90.00	0.082	0.00e+00	3.21e-04
790	02/02/2008	21:00	1.00	280.0	1.00	0.50	88.9	0.09	11.99	2.0	-1.71	90.00	0.015	0.00e+00	3.14e-04
791	02/02/2008	22:00	2.00	310.0	1.10	0.60	131.6	0.17	8.60	2.0	-9.86	90.00	0.045	0.00e+00	3.14e-04
792	02/02/2008	23:00	2.10	170.0	1.16	-0.10	135.2	0.18	8.40	2.0	-11.18	90.00	0.048	0.00e+00	3.11e-04
793	03/02/2008	00:00	1.00	270.0	1.00	-1.80	88.9	0.09	11.99	1.0	-1.71	90.00	0.015	0.00e+00	3.03e-04
794	03/02/2008	01:00	2.80	170.0	1.52	-1.70	158.3	0.24	7.31	1.0	-23.51	90.00	0.076	0.00e+00	3.03e-04
795	03/02/2008	02:00	2.10	240.0	1.16	-1.80	135.2	0.18	8.40	1.0	-11.18	90.00	0.048	0.00e+00	3.03e-04
796	03/02/2008	03:00	1.00	210.0	1.00	-2.60	88.9	0.09	11.99	0.0	-1.71	90.00	0.015	0.00e+00	2.99e-04
797	03/02/2008	04:00	1.00	140.0	1.00	-2.90	88.9	0.09	11.99	0.0	-1.71	90.00	0.015	0.00e+00	2.98e-04
798	03/02/2008	05:00	1.00	160.0	1.00	-3.30	88.9	0.09	11.99	0.0	-1.71	90.00	0.015	0.00e+00	2.96e-04
799	03/02/2008	06:00	1.00	0.0	1.00	-3.50	88.9	0.09	11.99	0.0	-1.71	90.00	0.015	0.00e+00	2.95e-04
800	03/02/2008	07:00	1.00	0.0	1.00	-3.90	88.9	0.09	11.99	1.0	-1.71	90.00	0.015	0.00e+00	2.93e-04
801	03/02/2008	08:00	1.00	200.0	1.00	-2.00	341.5	0.12	12.59	1.0	2.97	-49.87	-0.019	1.50e-03	3.02e-04
802	03/02/2008	09:00	1.00	260.0	1.00	1.20	541.9	0.19	11.37	1.0	58.27	-10.15	-0.243	3.34e-03	3.17e-04
803	03/02/2008	10:00	1.00	350.0	1.00	2.70	734.0	0.20	11.44	1.0	99.24	-7.13	-0.391	4.60e-03	3.25e-04
804	03/02/2008	11:00	3.90	180.0	2.20	7.30	1328.2	0.46	6.26	2.0	124.33	-70.05	-0.216	5.30e-03	3.48e-04
805	03/02/2008	12:00	7.60	180.0	4.19	10.20	2305.7	0.80	4.51	2.0	130.51	-349.14	-0.132	5.54e-03	3.62e-04
806	03/02/2008	13:00	11.40	190.0	6.30	10.70	3383.6	1.17	3.67	3.0	122.39	-1176.49	-0.084	5.19e-03	3.65e-04
807	03/02/2008	14:00	10.50	200.0	5.81	11.40	3437.1	1.08	3.82	3.0	98.64	-1144.60	-0.074	4.48e-03	3.69e-04
808	03/02/2008	15:00	8.10	190.0	4.49	10.80	3463.3	0.84	4.35	6.0	50.14	-1045.11	-0.048	2.40e-03	3.66e-04
809	03/02/2008	16:00	8.30	190.0	4.62	10.40	3475.5	0.85	4.28	7.0	10.80	-5125.87	-0.010	7.86e-04	3.64e-04
