i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
5113	01/08/2008	00:00	3.90	200.0	2.16	25.10	234.1	0.35	6.17	5.0	-29.91	131.90	0.072	0.00e+00	4.39e-04
5114	01/08/2008	01:00	3.70	260.0	2.03	24.20	208.4	0.33	6.35	5.0	-27.69	112.07	0.072	0.00e+00	4.34e-04
5115	01/08/2008	02:00	2.70	250.0	1.47	23.60	155.2	0.23	7.44	5.0	-19.49	90.00	0.072	0.00e+00	4.30e-04
5116	01/08/2008	03:00	1.60	210.0	1.00	23.00	116.2	0.14	9.57	5.0	-5.52	90.00	0.034	0.00e+00	4.27e-04
5117	01/08/2008	04:00	2.30	350.0	1.26	22.70	142.1	0.20	8.04	5.0	-13.98	90.00	0.060	0.00e+00	4.25e-04
5118	01/08/2008	05:00	2.00	310.0	1.12	21.80	614.3	0.21	8.72	7.0	2.24	-380.17	-0.009	1.51e-04	4.20e-04
5119	01/08/2008	06:00	1.70	340.0	1.00	22.70	683.7	0.22	9.47	7.0	32.04	-30.65	-0.122	1.43e-03	4.25e-04
5120	01/08/2008	07:00	3.70	10.0	2.04	20.70	1194.8	0.41	6.48	7.0	60.86	-103.12	-0.124	2.52e-03	4.14e-04
5121	01/08/2008	08:00	5.20	50.0	2.89	19.90	1571.3	0.54	5.42	7.0	27.34	-521.98	-0.042	3.38e-03	4.10e-04
5122	01/08/2008	09:00	2.00	90.0	1.33	20.30	1663.9	0.32	8.10	7.0	112.40	-24.74	-0.301	4.01e-03	4.12e-04
5123	01/08/2008	10:00	5.50	350.0	3.04	20.40	1775.3	0.60	5.31	7.0	130.64	-147.32	-0.184	4.42e-03	4.13e-04
5124	01/08/2008	11:00	3.10	350.0	1.71	19.40	1817.0	0.36	7.09	7.0	54.38	-74.12	-0.128	4.64e-03	4.07e-04
5125	01/08/2008	12:00	5.60	300.0	3.11	18.90	1841.4	0.58	5.22	8.0	20.59	-847.42	-0.030	2.25e-03	4.05e-04
5126	01/08/2008	13:00	2.30	50.0	1.26	18.20	1856.6	0.26	8.25	8.0	20.43	-78.11	-0.065	2.22e-03	4.01e-04
5127	01/08/2008	14:00	1.80	340.0	1.00	18.30	1869.3	0.21	9.36	8.0	17.51	-49.65	-0.069	2.11e-03	4.01e-04
5128	01/08/2008	15:00	2.30	310.0	1.27	18.20	1879.0	0.26	8.22	8.0	13.13	-112.63	-0.043	1.91e-03	4.01e-04
5129	01/08/2008	16:00	2.00	360.0	1.11	18.10	1900.3	0.24	8.84	7.0	29.92	-43.15	-0.103	3.38e-03	4.00e-04
5130	01/08/2008	17:00	1.60	50.0	1.00	18.50	1900.8	0.17	9.71	8.0	0.38	-1110.83	-0.002	1.20e-03	4.02e-04
5131	01/08/2008	18:00	1.00	0.0	1.00	19.10	1921.8	0.17	11.39	7.0	30.54	-15.11	-0.148	1.43e-03	4.06e-04
5132	01/08/2008	19:00	2.10	40.0	1.18	18.60	261.5	0.21	8.41	6.0	-2.13	379.57	0.009	2.07e-04	4.03e-04
5133	01/08/2008	20:00	2.50	360.0	1.37	18.20	148.8	0.21	7.72	8.0	-11.45	90.00	0.045	0.00e+00	4.01e-04
5134	01/08/2008	21:00	3.90	80.0	2.19	17.90	309.4	0.38	6.17	8.0	-20.23	233.79	0.045	0.00e+00	3.99e-04
5135	01/08/2008	22:00	1.00	310.0	1.00	17.40	88.9	0.09	11.99	8.0	-1.70	90.00	0.016	0.00e+00	3.97e-04
5136	01/08/2008	23:00	1.00	280.0	1.00	17.60	88.9	0.09	11.99	8.0	-1.70	90.00	0.016	0.00e+00	3.98e-04
5137	02/08/2008	00:00	1.00	140.0	1.00	17.30	88.9	0.09	11.99	6.0	-1.70	90.00	0.016	0.00e+00	3.96e-04
5138	02/08/2008	01:00	1.80	110.0	1.00	16.30	124.1	0.16	9.05	6.0	-7.45	90.00	0.040	0.00e+00	3.91e-04
5139	02/08/2008	02:00	1.00	0.0	1.00	15.70	88.9	0.09	11.99	4.0	-1.70	90.00	0.016	0.00e+00	3.87e-04
5140	02/08/2008	03:00	1.00	0.0	1.00	15.20	88.9	0.09	11.99	2.0	-1.70	90.00	0.016	0.00e+00	3.85e-04
5141	02/08/2008	04:00	1.00	0.0	1.00	14.80	88.9	0.09	11.99	2.0	-1.70	90.00	0.016	0.00e+00	3.83e-04
5142	02/08/2008	05:00	1.00	0.0	1.00	15.00	88.9	0.09	11.99	2.0	-1.70	90.00	0.016	2.34e-04	3.84e-04
