i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
6577	01/10/2008	00:00	1.00	0.0	1.00	13.20	88.9	0.09	11.99	8.0	-1.70	90.00	0.016	0.00e+00	3.75e-04
6578	01/10/2008	01:00	1.70	220.0	1.00	12.80	120.2	0.15	9.30	8.0	-6.46	90.00	0.036	0.00e+00	3.73e-04
6579	01/10/2008	02:00	1.60	210.0	1.00	12.60	116.2	0.14	9.57	6.0	-5.54	90.00	0.033	0.00e+00	3.72e-04
6580	01/10/2008	03:00	2.00	230.0	1.10	13.00	131.6	0.17	8.60	6.0	-9.79	90.00	0.047	0.00e+00	3.74e-04
6581	01/10/2008	04:00	2.40	150.0	1.31	13.00	145.5	0.21	7.88	7.0	-13.88	90.00	0.056	0.00e+00	3.74e-04
6582	01/10/2008	05:00	2.30	160.0	1.26	12.90	142.1	0.20	8.04	7.0	-13.33	90.00	0.056	0.00e+00	3.74e-04
6583	01/10/2008	06:00	4.60	140.0	2.57	12.90	357.5	0.45	5.69	7.0	-30.18	261.09	0.056	0.00e+00	3.74e-04
6584	01/10/2008	07:00	2.90	160.0	1.61	13.00	898.7	0.31	7.28	7.0	11.29	-237.29	-0.030	7.64e-04	3.74e-04
6585	01/10/2008	08:00	2.00	140.0	1.14	13.80	960.1	0.26	8.73	7.0	42.48	-35.57	-0.136	1.92e-03	3.79e-04
6586	01/10/2008	09:00	1.70	180.0	1.11	14.40	1050.4	0.27	8.84	7.0	68.90	-24.12	-0.214	2.78e-03	3.82e-04
6587	01/10/2008	10:00	1.70	270.0	1.13	15.10	1156.4	0.28	8.75	7.0	88.92	-21.17	-0.266	3.36e-03	3.85e-04
6588	01/10/2008	11:00	1.00	260.0	1.00	16.40	1264.5	0.20	11.44	7.0	101.08	-7.02	-0.420	3.69e-03	3.92e-04
6589	01/10/2008	12:00	1.00	30.0	1.00	18.40	1368.0	0.20	11.45	7.0	104.63	-6.86	-0.436	3.80e-03	4.03e-04
6590	01/10/2008	13:00	1.60	210.0	1.06	18.40	1492.3	0.28	9.07	6.0	135.51	-13.99	-0.409	5.06e-03	4.03e-04
6591	01/10/2008	14:00	1.20	210.0	1.00	18.90	1592.7	0.23	10.46	6.0	118.52	-8.85	-0.436	4.61e-03	4.06e-04
6592	01/10/2008	15:00	1.80	250.0	1.16	18.50	1648.8	0.27	8.66	7.0	68.76	-26.25	-0.211	2.78e-03	4.04e-04
