i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
8041	01/12/2008	00:00	1.00	0.0	1.00	4.60	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.31e-04
8042	01/12/2008	01:00	1.50	200.0	1.00	3.40	112.0	0.13	9.88	7.0	-4.70	90.00	0.029	0.00e+00	3.25e-04
8043	01/12/2008	02:00	2.00	190.0	1.10	5.40	131.6	0.17	8.60	7.0	-9.78	90.00	0.045	0.00e+00	3.35e-04
8044	01/12/2008	03:00	1.70	360.0	1.00	5.50	120.2	0.15	9.30	8.0	-6.46	90.00	0.035	0.00e+00	3.36e-04
8045	01/12/2008	04:00	1.20	130.0	1.00	4.90	98.7	0.11	10.99	8.0	-2.67	90.00	0.020	0.00e+00	3.33e-04
8046	01/12/2008	05:00	1.20	170.0	1.00	4.30	98.7	0.11	10.99	8.0	-2.67	90.00	0.020	0.00e+00	3.30e-04
8047	01/12/2008	06:00	1.00	0.0	1.00	4.20	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.29e-04
8048	01/12/2008	07:00	1.60	250.0	1.00	5.00	116.2	0.14	9.57	7.0	-5.53	90.00	0.032	0.00e+00	3.33e-04
8049	01/12/2008	08:00	3.40	320.0	1.92	6.00	453.6	0.35	6.62	7.0	-5.08	719.62	0.012	2.26e-04	3.38e-04
8050	01/12/2008	09:00	1.10	310.0	1.00	6.10	479.2	0.17	11.41	7.0	21.40	-18.96	-0.103	1.23e-03	3.39e-04
8051	01/12/2008	10:00	1.00	90.0	1.00	6.30	580.2	0.18	11.33	7.0	41.68	-12.66	-0.185	1.92e-03	3.40e-04
8052	01/12/2008	11:00	1.00	130.0	1.00	6.00	689.1	0.19	11.36	7.0	54.44	-10.57	-0.234	2.32e-03	3.38e-04
8053	01/12/2008	12:00	1.80	110.0	1.12	6.10	792.6	0.26	8.78	7.0	58.78	-27.59	-0.179	2.45e-03	3.39e-04
8054	01/12/2008	13:00	2.30	100.0	1.26	6.10	834.4	0.27	8.26	8.0	24.48	-67.88	-0.074	1.11e-03	3.39e-04
8055	01/12/2008	14:00	1.10	100.0	1.00	6.10	862.2	0.16	11.60	8.0	18.39	-19.60	-0.092	9.16e-04	3.39e-04
8056	01/12/2008	15:00	1.00	100.0	1.00	6.10	875.1	0.13	12.62	8.0	8.71	-23.08	-0.053	5.87e-04	3.39e-04
8057	01/12/2008	16:00	1.10	130.0	1.00	5.90	93.9	0.10	11.46	8.0	-2.15	90.00	0.018	1.08e-04	3.38e-04
8058	01/12/2008	17:00	1.20	180.0	1.00	5.70	98.7	0.11	10.99	7.0	-2.67	90.00	0.020	0.00e+00	3.37e-04
8059	01/12/2008	18:00	1.00	0.0	1.00	5.60	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.36e-04
8060	01/12/2008	19:00	1.70	310.0	1.00	5.70	120.2	0.15	9.30	7.0	-6.46	90.00	0.035	0.00e+00	3.37e-04
8061	01/12/2008	20:00	1.00	170.0	1.00	5.10	88.9	0.09	11.99	8.0	-1.70	90.00	0.015	0.00e+00	3.34e-04
8062	01/12/2008	21:00	1.70	300.0	1.00	4.80	120.2	0.15	9.30	8.0	-6.46	90.00	0.035	0.00e+00	3.32e-04
8063	01/12/2008	22:00	1.00	0.0	1.00	4.10	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.29e-04
8064	01/12/2008	23:00	1.00	0.0	1.00	4.30	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.30e-04
8065	02/12/2008	00:00	1.00	0.0	1.00	4.40	88.9	0.09	11.99	6.0	-1.70	90.00	0.015	0.00e+00	3.30e-04
8066	02/12/2008	01:00	1.00	0.0	1.00	4.30	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.30e-04
8067	02/12/2008	02:00	1.00	0.0	1.00	4.10	88.9	0.09	11.99	8.0	-1.70	90.00	0.015	0.00e+00	3.29e-04
8068	02/12/2008	03:00	1.00	0.0	1.00	4.10	88.9	0.09	11.99	8.0	-1.70	90.00	0.015	0.00e+00	3.29e-04
8069	02/12/2008	04:00	1.30	250.0	1.00	4.40	103.3	0.11	10.58	8.0	-3.27	90.00	0.023	0.00e+00	3.30e-04
8070	02/12/2008	05:00	1.00	230.0	1.00	4.30	88.9	0.09	11.99	8.0	-1.70	90.00	0.015	0.00e+00	3.30e-04
8071	02/12/2008	06:00	1.00	0.0	1.00	4.70	88.9	0.09	11.99	8.0	-1.70	90.00	0.015	0.00e+00	3.32e-04
8072	02/12/2008	07:00	2.10	360.0	1.16	4.60	135.2	0.18	8.40	8.0	-10.18	90.00	0.045	0.00e+00	3.31e-04
8073	02/12/2008	08:00	2.20	90.0	1.21	4.00	138.7	0.19	8.21	4.0	-12.50	90.00	0.053	3.77e-04	3.28e-04
8074	02/12/2008	09:00	1.00	240.0	1.00	4.00	507.2	0.18	11.35	5.0	32.81	-14.66	-0.149	1.97e-03	3.28e-04
8075	02/12/2008	10:00	4.10	320.0	2.26	6.10	1311.9	0.45	6.16	3.0	70.95	-117.33	-0.125	3.54e-03	3.39e-04
8076	02/12/2008	11:00	3.30	350.0	1.82	6.20	1366.6	0.37	6.87	7.0	54.03	-86.25	-0.116	2.31e-03	3.39e-04
8077	02/12/2008	12:00	3.50	350.0	1.93	6.10	1423.5	0.39	6.67	7.0	58.38	-93.39	-0.119	2.44e-03	3.39e-04
8078	02/12/2008	13:00	4.90	340.0	2.71	6.00	1528.7	0.53	5.62	6.0	74.16	-177.63	-0.112	3.16e-03	3.38e-04
8079	02/12/2008	14:00	4.20	310.0	2.32	6.70	1587.5	0.46	6.08	5.0	65.70	-132.73	-0.114	3.09e-03	3.42e-04
8080	02/12/2008	15:00	2.90	350.0	1.60	5.80	1615.4	0.33	7.33	3.0	33.26	-92.77	-0.082	2.26e-03	3.37e-04
8081	02/12/2008	16:00	1.00	20.0	1.00	4.30	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	2.12e-04	3.30e-04
8082	02/12/2008	17:00	1.00	170.0	1.00	4.20	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.29e-04
8083	02/12/2008	18:00	1.00	0.0	1.00	3.50	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.26e-04
8084	02/12/2008	19:00	2.50	150.0	1.37	2.70	148.8	0.21	7.72	7.0	-14.96	90.00	0.056	0.00e+00	3.22e-04
8085	02/12/2008	20:00	1.60	160.0	1.00	1.30	116.2	0.14	9.57	7.0	-5.53	90.00	0.031	0.00e+00	3.15e-04
8086	02/12/2008	21:00	1.00	200.0	1.00	1.10	88.9	0.09	11.99	7.0	-1.70	90.00	0.015	0.00e+00	3.14e-04
8087	02/12/2008	22:00	1.70	140.0	1.00	0.90	120.2	0.15	9.30	7.0	-6.46	90.00	0.035	0.00e+00	3.13e-04
8088	02/12/2008	23:00	1.30	140.0	1.00	-0.20	103.3	0.11	10.58	7.0	-3.27	90.00	0.023	0.00e+00	3.08e-04
8089	03/12/2008	00:00	2.00	130.0	1.10	0.00	131.6	0.17	8.60	7.0	-9.78	90.00	0.045	0.00e+00	3.09e-04
8090	03/12/2008	01:00	1.90	120.0	1.05	-0.80	127.9	0.16	8.82	7.0	-8.58	90.00	0.041	0.00e+00	3.05e-04
8091	03/12/2008	02:00	2.50	170.0	1.37	0.60	148.8	0.21	7.72	7.0	-15.08	90.00	0.056	0.00e+00	3.12e-04
8092	03/12/2008	03:00	3.60	170.0	2.00	0.40	227.6	0.33	6.42	7.0	-23.28	136.10	0.056	0.00e+00	3.11e-04
8093	03/12/2008	04:00	3.00	160.0	1.63	0.80	164.3	0.25	7.07	7.0	-17.96	90.00	0.056	0.00e+00	3.13e-04
8094	03/12/2008	05:00	4.00	170.0	2.23	1.40	275.6	0.38	6.10	7.0	-26.49	178.18	0.056	0.00e+00	3.16e-04
8095	03/12/2008	06:00	6.00	170.0	3.37	1.90	533.6	0.60	4.99	7.0	-42.11	452.58	0.056	0.00e+00	3.18e-04
8096	03/12/2008	07:00	6.40	180.0	3.60	2.40	589.5	0.64	4.83	7.0	-45.09	521.76	0.056	0.00e+00	3.21e-04
8097	03/12/2008	08:00	6.90	170.0	3.86	2.70	1389.1	0.71	4.68	8.0	-5.65	5585.65	0.006	9.51e-05	3.22e-04
8098	03/12/2008	09:00	9.60	170.0	5.34	2.60	2839.9	0.98	3.98	8.0	7.31	-11552.13	-0.006	5.75e-04	3.21e-04
8099	03/12/2008	10:00	8.50	180.0	4.72	2.20	2860.0	0.87	4.23	8.0	17.21	-3432.06	-0.016	9.05e-04	3.20e-04
8100	03/12/2008	11:00	9.80	180.0	5.43	3.30	2908.5	1.01	3.95	7.0	53.96	-1681.11	-0.043	2.30e-03	3.25e-04
