i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
3649	01/06/2008	00:00	1.00	160.0	1.00	16.20	88.9	0.09	11.99	8.0	-1.70	90.00	0.016	0.00e+00	3.90e-04
3650	01/06/2008	01:00	2.60	130.0	1.42	16.30	152.0	0.22	7.58	8.0	-11.98	90.00	0.045	0.00e+00	3.91e-04
3651	01/06/2008	02:00	2.50	140.0	1.37	16.20	148.8	0.21	7.72	8.0	-11.54	90.00	0.045	0.00e+00	3.90e-04
3652	01/06/2008	03:00	1.00	250.0	1.00	15.90	88.9	0.09	11.99	8.0	-1.70	90.00	0.016	0.00e+00	3.89e-04
3653	01/06/2008	04:00	1.20	170.0	1.00	15.80	98.7	0.11	10.99	8.0	-2.67	90.00	0.021	0.00e+00	3.88e-04
3654	01/06/2008	05:00	2.00	130.0	1.11	16.20	630.0	0.22	8.77	8.0	5.44	-169.31	-0.021	2.89e-04	3.90e-04
3655	01/06/2008	06:00	3.40	130.0	1.89	17.30	1055.6	0.37	6.73	8.0	20.26	-213.80	-0.046	8.52e-04	3.96e-04
3656	01/06/2008	07:00	3.40	150.0	1.88	17.30	1104.1	0.37	6.76	8.0	34.46	-133.87	-0.077	1.33e-03	3.96e-04
3657	01/06/2008	08:00	2.50	180.0	1.39	15.90	1119.3	0.27	7.86	8.0	10.75	-166.53	-0.033	1.71e-03	3.89e-04
3658	01/06/2008	09:00	1.00	60.0	1.00	16.20	1138.5	0.15	12.09	8.0	16.63	-17.81	-0.093	1.99e-03	3.90e-04
3659	01/06/2008	10:00	3.70	100.0	2.13	17.70	1308.2	0.45	6.37	7.0	138.59	-59.48	-0.256	4.55e-03	3.98e-04
3660	01/06/2008	11:00	2.80	100.0	1.78	18.70	1454.0	0.40	6.97	7.0	149.30	-37.94	-0.313	4.75e-03	4.04e-04
3661	01/06/2008	12:00	2.10	90.0	1.39	19.80	1587.3	0.34	7.92	7.0	152.37	-22.05	-0.382	4.81e-03	4.10e-04
3662	01/06/2008	13:00	1.00	60.0	1.00	20.80	1646.9	0.19	11.40	8.0	73.24	-8.66	-0.321	2.27e-03	4.15e-04
3663	01/06/2008	14:00	2.40	320.0	1.40	20.50	1701.5	0.31	7.88	8.0	67.90	-39.37	-0.184	2.17e-03	4.14e-04
3664	01/06/2008	15:00	2.70	350.0	1.51	20.50	1748.4	0.33	7.56	8.0	59.43	-51.89	-0.154	1.99e-03	4.14e-04
3665	01/06/2008	16:00	3.90	340.0	2.15	20.90	1788.5	0.43	6.31	8.0	48.49	-141.99	-0.096	1.71e-03	4.16e-04
3666	01/06/2008	17:00	2.70	340.0	1.49	19.90	1815.6	0.31	7.61	8.0	35.32	-74.51	-0.096	1.33e-03	4.10e-04
3667	01/06/2008	18:00	2.80	330.0	1.55	19.50	1832.2	0.31	7.45	8.0	21.25	-123.26	-0.058	8.52e-04	4.08e-04
