i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
2185	01/04/2008	00:00	1.20	20.0	1.00	6.20	98.7	0.11	10.99	3.0	-2.66	90.00	0.020	0.00e+00	3.37e-04
2186	01/04/2008	01:00	1.20	310.0	1.00	4.80	98.7	0.11	10.99	3.0	-2.66	90.00	0.020	0.00e+00	3.30e-04
2187	01/04/2008	02:00	1.00	330.0	1.00	5.40	88.9	0.09	11.99	2.0	-1.69	90.00	0.015	0.00e+00	3.33e-04
2188	01/04/2008	03:00	2.70	300.0	1.47	6.00	155.2	0.23	7.44	2.0	-21.08	90.00	0.074	0.00e+00	3.36e-04
2189	01/04/2008	04:00	1.00	0.0	1.00	4.30	88.9	0.09	11.99	0.0	-1.69	90.00	0.015	0.00e+00	3.28e-04
2190	01/04/2008	05:00	1.00	0.0	1.00	3.80	88.9	0.09	11.99	0.0	-1.69	90.00	0.015	0.00e+00	3.25e-04
2191	01/04/2008	06:00	1.00	20.0	1.00	3.90	88.9	0.09	11.99	1.0	-1.69	90.00	0.015	4.55e-04	3.26e-04
2192	01/04/2008	07:00	3.20	340.0	1.77	7.80	1044.0	0.36	6.98	1.0	46.53	-89.60	-0.104	2.98e-03	3.45e-04
2193	01/04/2008	08:00	5.50	340.0	3.04	10.10	1718.4	0.60	5.31	1.0	107.53	-172.86	-0.148	4.97e-03	3.57e-04
2194	01/04/2008	09:00	5.10	360.0	2.84	11.20	1842.9	0.58	5.50	2.0	160.98	-104.17	-0.230	6.39e-03	3.62e-04
2195	01/04/2008	10:00	6.20	360.0	3.44	12.30	1987.9	0.68	4.99	1.0	197.03	-141.61	-0.239	7.41e-03	3.68e-04
2196	01/04/2008	11:00	6.10	360.0	3.40	13.50	2137.3	0.68	5.02	2.0	221.67	-124.46	-0.271	7.92e-03	3.74e-04
2197	01/04/2008	12:00	6.00	340.0	3.35	13.80	2280.6	0.67	5.06	2.0	229.48	-116.82	-0.283	8.09e-03	3.76e-04
2198	01/04/2008	13:00	5.20	350.0	2.93	14.70	2402.7	0.60	5.41	4.0	210.73	-90.53	-0.292	7.40e-03	3.81e-04
2199	01/04/2008	14:00	6.30	350.0	3.48	15.50	2502.3	0.68	4.96	5.0	173.04	-163.61	-0.211	6.29e-03	3.85e-04
2200	01/04/2008	15:00	5.60	360.0	3.09	15.60	2569.2	0.61	5.26	6.0	120.54	-164.28	-0.166	4.62e-03	3.85e-04
2201	01/04/2008	16:00	5.30	350.0	2.93	15.60	2615.8	0.57	5.40	6.0	84.83	-192.81	-0.124	3.57e-03	3.85e-04
2202	01/04/2008	17:00	5.80	340.0	3.21	14.40	2642.2	0.61	5.14	6.0	43.05	-459.38	-0.059	2.14e-03	3.79e-04
2203	01/04/2008	18:00	4.90	350.0	2.69	13.30	1425.8	0.49	5.61	7.0	-1.12	10064.40	0.002	2.39e-04	3.73e-04
2204	01/04/2008	19:00	4.10	350.0	2.29	12.00	294.3	0.39	6.03	7.0	-26.24	198.36	0.056	0.00e+00	3.67e-04
