i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
5857	01/09/2008	00:00	1.20	70.0	1.00	18.60	98.7	0.11	10.99	5.0	-2.67	90.00	0.021	0.00e+00	4.03e-04
5858	01/09/2008	01:00	1.00	310.0	1.00	18.40	88.9	0.09	11.99	5.0	-1.70	90.00	0.016	0.00e+00	4.02e-04
5859	01/09/2008	02:00	1.00	0.0	1.00	18.50	88.9	0.09	11.99	6.0	-1.70	90.00	0.016	0.00e+00	4.03e-04
5860	01/09/2008	03:00	1.00	210.0	1.00	18.30	88.9	0.09	11.99	6.0	-1.70	90.00	0.016	0.00e+00	4.02e-04
5861	01/09/2008	04:00	1.20	310.0	1.00	18.40	98.7	0.11	10.99	6.0	-2.67	90.00	0.021	0.00e+00	4.02e-04
5862	01/09/2008	05:00	1.20	320.0	1.00	18.30	98.7	0.11	10.99	7.0	-2.67	90.00	0.021	0.00e+00	4.02e-04
5863	01/09/2008	06:00	2.50	10.0	1.39	18.80	779.8	0.27	7.84	7.0	8.49	-205.68	-0.026	5.23e-04	4.04e-04
5864	01/09/2008	07:00	1.70	20.0	1.00	19.40	847.0	0.23	9.30	7.0	40.10	-28.38	-0.144	1.79e-03	4.08e-04
5865	01/09/2008	08:00	2.50	350.0	1.44	19.20	953.5	0.32	7.75	7.0	69.22	-41.67	-0.182	2.80e-03	4.07e-04
5866	01/09/2008	09:00	3.10	20.0	1.77	20.60	1101.9	0.38	6.99	7.0	94.04	-52.40	-0.208	3.53e-03	4.14e-04
5867	01/09/2008	10:00	2.80	320.0	1.79	21.00	1276.5	0.40	6.96	6.0	151.98	-37.67	-0.320	5.52e-03	4.16e-04
5868	01/09/2008	11:00	3.50	340.0	2.12	21.50	1446.7	0.46	6.39	6.0	167.90	-50.86	-0.310	5.89e-03	4.19e-04
5869	01/09/2008	12:00	3.20	30.0	1.90	21.30	1563.8	0.41	6.74	7.0	128.72	-48.67	-0.264	4.39e-03	4.18e-04
5870	01/09/2008	13:00	3.50	350.0	2.01	22.20	1669.8	0.43	6.55	7.0	124.33	-56.79	-0.245	4.30e-03	4.23e-04
5871	01/09/2008	14:00	3.80	360.0	2.20	22.40	1790.2	0.47	6.26	6.0	151.11	-59.90	-0.275	5.52e-03	4.24e-04
5872	01/09/2008	15:00	4.00	10.0	2.30	23.00	1907.3	0.48	6.13	4.0	156.74	-64.39	-0.275	6.27e-03	4.27e-04
5873	01/09/2008	16:00	4.00	30.0	2.24	22.90	1988.6	0.46	6.20	4.0	113.79	-77.70	-0.209	4.96e-03	4.27e-04
5874	01/09/2008	17:00	3.70	20.0	2.04	22.10	2033.1	0.42	6.48	4.0	63.56	-99.71	-0.130	3.18e-03	4.22e-04
5875	01/09/2008	18:00	2.80	40.0	1.56	20.90	2039.7	0.30	7.39	4.0	8.67	-274.17	-0.024	9.28e-04	4.16e-04
5876	01/09/2008	19:00	1.70	30.0	1.00	19.60	120.2	0.15	9.30	3.0	-6.45	90.00	0.037	0.00e+00	4.09e-04
5877	01/09/2008	20:00	1.00	360.0	1.00	18.40	88.9	0.09	11.99	3.0	-1.70	90.00	0.016	0.00e+00	4.02e-04
5878	01/09/2008	21:00	1.00	360.0	1.00	17.80	88.9	0.09	11.99	3.0	-1.70	90.00	0.016	0.00e+00	3.99e-04
5879	01/09/2008	22:00	1.00	0.0	1.00	16.70	88.9	0.09	11.99	2.0	-1.70	90.00	0.016	0.00e+00	3.93e-04
5880	01/09/2008	23:00	1.00	220.0	1.00	15.40	88.9	0.09	11.99	2.0	-1.70	90.00	0.016	0.00e+00	3.86e-04
5881	02/09/2008	00:00	1.00	0.0	1.00	14.90	88.9	0.09	11.99	2.0	-1.70	90.00	0.016	0.00e+00	3.84e-04
5882	02/09/2008	01:00	1.00	200.0	1.00	14.40	88.9	0.09	11.99	1.0	-1.70	90.00	0.016	0.00e+00	3.81e-04
5883	02/09/2008	02:00	1.00	190.0	1.00	13.90	88.9	0.09	11.99	1.0	-1.70	90.00	0.016	0.00e+00	3.78e-04
5884	02/09/2008	03:00	1.00	150.0	1.00	13.40	88.9	0.09	11.99	1.0	-1.70	90.00	0.016	0.00e+00	3.76e-04
5885	02/09/2008	04:00	1.00	150.0	1.00	13.00	88.9	0.09	11.99	0.0	-1.70	90.00	0.016	0.00e+00	3.74e-04
5886	02/09/2008	05:00	1.00	180.0	1.00	12.90	88.9	0.09	11.99	0.0	-1.70	90.00	0.016	0.00e+00	3.73e-04
5887	02/09/2008	06:00	1.00	210.0	1.00	13.30	88.9	0.09	11.99	0.0	-1.70	90.00	0.016	9.29e-04	3.75e-04
5888	02/09/2008	07:00	1.80	200.0	1.11	15.50	747.3	0.26	8.85	0.0	54.51	-28.20	-0.175	3.37e-03	3.87e-04
5889	02/09/2008	08:00	1.90	220.0	1.26	17.90	934.0	0.31	8.30	3.0	116.98	-21.76	-0.320	5.15e-03	4.00e-04
5890	02/09/2008	09:00	1.00	210.0	1.00	20.40	1139.3	0.21	11.50	3.0	162.09	-5.16	-0.647	6.53e-03	4.13e-04
5891	02/09/2008	10:00	1.90	180.0	1.25	22.50	1349.2	0.32	8.35	3.0	195.31	-15.17	-0.515	7.45e-03	4.25e-04
5892	02/09/2008	11:00	3.00	170.0	1.95	24.20	1546.0	0.44	6.66	4.0	207.95	-36.42	-0.404	7.60e-03	4.34e-04
5893	02/09/2008	12:00	3.50	180.0	2.21	25.20	1726.4	0.48	6.26	4.0	213.93	-46.52	-0.380	7.75e-03	4.40e-04
5894	02/09/2008	13:00	3.60	180.0	2.21	25.80	1873.2	0.48	6.25	5.0	190.93	-50.73	-0.343	6.94e-03	4.43e-04
5895	02/09/2008	14:00	3.60	180.0	2.03	26.30	1954.2	0.43	6.51	7.0	111.12	-63.47	-0.222	4.01e-03	4.46e-04
5896	02/09/2008	15:00	4.50	180.0	2.49	26.90	2021.9	0.50	5.87	7.0	93.07	-118.32	-0.161	3.51e-03	4.49e-04
5897	02/09/2008	16:00	5.00	180.0	2.76	26.20	2073.1	0.54	5.56	7.0	69.42	-198.25	-0.111	2.77e-03	4.45e-04
5898	02/09/2008	17:00	4.60	180.0	2.55	25.00	2103.9	0.49	5.79	7.0	41.39	-252.46	-0.072	1.76e-03	4.39e-04
5899	02/09/2008	18:00	4.80	180.0	2.68	24.20	2115.4	0.50	5.63	7.0	11.05	-995.75	-0.019	4.86e-04	4.34e-04
5900	02/09/2008	19:00	5.60	170.0	3.13	23.30	460.6	0.55	5.17	6.0	-41.89	355.84	0.065	0.00e+00	4.29e-04
5901	02/09/2008	20:00	5.40	190.0	3.02	23.30	434.8	0.53	5.26	6.0	-40.21	327.99	0.065	0.00e+00	4.29e-04
5902	02/09/2008	21:00	7.50	210.0	4.22	20.30	717.0	0.76	4.47	6.0	-58.10	664.05	0.065	0.00e+00	4.13e-04
5903	02/09/2008	22:00	4.90	170.0	2.73	19.70	369.1	0.47	5.52	6.0	-36.40	259.07	0.065	0.00e+00	4.09e-04
5904	02/09/2008	23:00	3.10	220.0	1.68	19.00	167.3	0.26	6.96	6.0	-20.22	90.00	0.065	0.00e+00	4.06e-04
5905	03/09/2008	00:00	3.30	180.0	1.79	19.30	173.0	0.28	6.76	5.0	-24.02	90.00	0.072	0.00e+00	4.07e-04
5906	03/09/2008	01:00	1.90	210.0	1.05	18.90	127.9	0.16	8.82	5.0	-8.57	90.00	0.044	0.00e+00	4.05e-04
5907	03/09/2008	02:00	2.30	220.0	1.26	18.60	142.1	0.20	8.04	5.0	-14.00	90.00	0.060	0.00e+00	4.03e-04
5908	03/09/2008	03:00	1.00	0.0	1.00	17.60	88.9	0.09	11.99	4.0	-1.70	90.00	0.016	0.00e+00	3.98e-04
5909	03/09/2008	04:00	1.00	60.0	1.00	17.10	88.9	0.09	11.99	4.0	-1.70	90.00	0.016	0.00e+00	3.95e-04
5910	03/09/2008	05:00	1.00	360.0	1.00	17.20	88.9	0.09	11.99	4.0	-1.70	90.00	0.016	0.00e+00	3.96e-04
5911	03/09/2008	06:00	1.00	0.0	1.00	17.20	357.8	0.12	12.66	5.0	5.24	-32.20	-0.035	7.28e-04	3.96e-04
5912	03/09/2008	07:00	2.20	190.0	1.28	20.30	829.6	0.29	8.24	5.0	57.39	-36.64	-0.169	2.81e-03	4.13e-04
5913	03/09/2008	08:00	6.70	170.0	3.70	23.00	2043.1	0.71	4.80	5.0	103.72	-302.85	-0.125	4.45e-03	4.27e-04
5914	03/09/2008	09:00	8.00	200.0	4.41	24.40	2427.1	0.84	4.39	4.0	153.35	-343.41	-0.156	6.20e-03	4.35e-04
