i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
1	01/01/2008	00:00	2.10	360.0	1.16	0.40	135.2	0.18	8.40	8.0	-10.37	90.00	0.045	0.00e+00	3.12e-04
2	01/01/2008	01:00	2.40	10.0	1.31	1.30	145.5	0.21	7.88	8.0	-11.76	90.00	0.045	0.00e+00	3.16e-04
3	01/01/2008	02:00	3.50	10.0	1.95	1.40	248.4	0.33	6.51	8.0	-18.80	167.57	0.045	0.00e+00	3.17e-04
4	01/01/2008	03:00	3.00	10.0	1.65	1.30	183.5	0.27	7.04	8.0	-15.22	109.64	0.045	0.00e+00	3.16e-04
5	01/01/2008	04:00	2.00	10.0	1.10	1.60	131.6	0.17	8.60	8.0	-9.82	90.00	0.045	0.00e+00	3.18e-04
6	01/01/2008	05:00	1.50	110.0	1.00	0.70	112.0	0.13	9.88	7.0	-4.71	90.00	0.028	0.00e+00	3.13e-04
7	01/01/2008	06:00	1.80	120.0	1.00	0.20	124.1	0.16	9.05	8.0	-7.50	90.00	0.038	0.00e+00	3.11e-04
8	01/01/2008	07:00	1.80	120.0	1.00	0.00	124.1	0.16	9.05	8.0	-7.50	90.00	0.038	0.00e+00	3.10e-04
9	01/01/2008	08:00	2.10	90.0	1.16	0.10	135.2	0.18	8.40	7.0	-9.71	90.00	0.042	1.40e-04	3.11e-04
10	01/01/2008	09:00	1.90	100.0	1.05	0.20	604.2	0.21	9.02	8.0	5.90	-138.28	-0.022	5.49e-04	3.11e-04
11	01/01/2008	10:00	1.90	80.0	1.04	0.50	639.8	0.22	9.10	8.0	16.10	-60.10	-0.057	8.79e-04	3.12e-04
12	01/01/2008	11:00	1.80	110.0	1.10	0.90	739.9	0.26	8.88	7.0	52.54	-28.53	-0.161	2.24e-03	3.14e-04
13	01/01/2008	12:00	1.60	80.0	1.03	1.10	831.7	0.25	9.17	7.0	57.03	-23.68	-0.181	2.38e-03	3.15e-04
14	01/01/2008	13:00	1.00	60.0	1.00	1.50	906.4	0.19	11.36	7.0	52.46	-10.86	-0.222	2.24e-03	3.17e-04
15	01/01/2008	14:00	2.00	60.0	1.13	1.60	960.3	0.25	8.76	7.0	39.25	-37.01	-0.122	1.84e-03	3.18e-04
16	01/01/2008	15:00	2.10	50.0	1.15	1.20	985.2	0.24	8.64	7.0	18.18	-69.21	-0.059	1.15e-03	3.16e-04
17	01/01/2008	16:00	2.20	60.0	1.21	0.90	138.7	0.19	8.21	7.0	-9.40	90.00	0.039	1.40e-04	3.14e-04
18	01/01/2008	17:00	2.10	70.0	1.16	0.70	135.2	0.18	8.40	8.0	-10.36	90.00	0.045	0.00e+00	3.13e-04
19	01/01/2008	18:00	1.80	80.0	1.00	0.70	124.1	0.16	9.05	8.0	-7.50	90.00	0.038	0.00e+00	3.13e-04
20	01/01/2008	19:00	1.40	110.0	1.00	0.40	107.7	0.12	10.21	8.0	-3.96	90.00	0.025	0.00e+00	3.12e-04
21	01/01/2008	20:00	1.00	30.0	1.00	0.30	88.9	0.09	11.99	8.0	-1.71	90.00	0.015	0.00e+00	3.11e-04
22	01/01/2008	21:00	1.00	0.0	1.00	0.20	88.9	0.09	11.99	8.0	-1.71	90.00	0.015	0.00e+00	3.11e-04
23	01/01/2008	22:00	1.40	130.0	1.00	-0.30	107.7	0.12	10.21	8.0	-3.96	90.00	0.025	0.00e+00	3.09e-04
24	01/01/2008	23:00	1.00	110.0	1.00	-0.60	88.9	0.09	11.99	8.0	-1.71	90.00	0.015	0.00e+00	3.07e-04
25	02/01/2008	00:00	1.20	120.0	1.00	-0.80	98.7	0.11	10.99	8.0	-2.68	90.00	0.020	0.00e+00	3.06e-04
26	02/01/2008	01:00	1.00	0.0	1.00	-1.90	88.9	0.09	11.99	8.0	-1.71	90.00	0.015	0.00e+00	3.01e-04
