i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
2905	01/05/2008	00:00	2.00	210.0	1.10	8.00	131.6	0.17	8.60	4.0	-9.73	90.00	0.046	0.00e+00	3.46e-04
2906	01/05/2008	01:00	3.20	220.0	1.73	8.60	170.2	0.27	6.86	4.0	-26.20	90.00	0.079	0.00e+00	3.49e-04
2907	01/05/2008	02:00	2.60	210.0	1.42	8.80	152.0	0.22	7.58	4.0	-19.13	90.00	0.070	0.00e+00	3.50e-04
2908	01/05/2008	03:00	1.00	160.0	1.00	8.60	88.9	0.09	11.99	4.0	-1.69	90.00	0.016	0.00e+00	3.49e-04
2909	01/05/2008	04:00	1.00	250.0	1.00	7.50	88.9	0.09	11.99	4.0	-1.69	90.00	0.015	0.00e+00	3.44e-04
2910	01/05/2008	05:00	1.00	0.0	1.00	6.80	88.9	0.09	11.99	4.0	-1.69	90.00	0.015	0.00e+00	3.40e-04
2911	01/05/2008	06:00	1.00	170.0	1.00	8.10	512.9	0.18	11.32	4.0	35.02	-14.13	-0.160	2.18e-03	3.47e-04
2912	01/05/2008	07:00	1.70	190.0	1.13	10.70	802.3	0.28	8.76	1.0	92.23	-20.53	-0.272	4.50e-03	3.60e-04
2913	01/05/2008	08:00	1.80	190.0	1.19	12.30	1017.0	0.30	8.56	1.0	149.44	-16.38	-0.407	6.21e-03	3.68e-04
2914	01/05/2008	09:00	1.90	220.0	1.25	13.70	1223.0	0.32	8.34	5.0	176.66	-16.22	-0.459	6.33e-03	3.76e-04
2915	01/05/2008	10:00	1.40	150.0	1.00	15.20	1425.4	0.27	9.75	5.0	206.48	-8.13	-0.644	7.03e-03	3.84e-04
2916	01/05/2008	11:00	1.70	130.0	1.12	16.30	1591.4	0.30	8.83	6.0	191.71	-12.35	-0.535	6.27e-03	3.89e-04
2917	01/05/2008	12:00	2.20	170.0	1.45	17.20	1746.5	0.36	7.76	6.0	196.26	-20.17	-0.463	6.37e-03	3.94e-04
2918	01/05/2008	13:00	2.50	190.0	1.64	18.50	1884.9	0.39	7.27	6.0	189.21	-26.87	-0.413	6.27e-03	4.01e-04
2919	01/05/2008	14:00	1.70	210.0	1.12	18.70	2001.8	0.30	8.82	6.0	172.79	-13.25	-0.492	5.95e-03	4.02e-04
2920	01/05/2008	15:00	3.20	200.0	1.85	18.40	2073.9	0.40	6.84	7.0	109.01	-51.60	-0.230	3.91e-03	4.01e-04
2921	01/05/2008	16:00	2.80	180.0	1.61	17.90	2127.8	0.35	7.32	7.0	84.51	-46.08	-0.201	3.26e-03	3.98e-04
2922	01/05/2008	17:00	1.70	140.0	1.07	18.20	2162.2	0.25	8.99	7.0	55.82	-25.88	-0.185	2.36e-03	3.99e-04
2923	01/05/2008	18:00	1.50	150.0	1.00	17.60	2177.4	0.20	10.11	7.0	24.82	-27.80	-0.105	1.23e-03	3.96e-04
2924	01/05/2008	19:00	1.10	130.0	1.00	15.20	93.9	0.10	11.46	7.0	-2.14	90.00	0.018	0.00e+00	3.84e-04
2925	01/05/2008	20:00	2.20	120.0	1.21	13.30	138.7	0.19	8.21	6.0	-12.43	90.00	0.054	0.00e+00	3.74e-04
2926	01/05/2008	21:00	1.00	0.0	1.00	11.50	88.9	0.09	11.99	6.0	-1.69	90.00	0.016	0.00e+00	3.64e-04
