i	Date	Heure	Uext	Direct	Uh	To	h	us	sigmatheta	Cld	Fo	Lmo	thetas	k1	k3
7321	01/11/2008	00:00	3.40	110.0	1.84	8.60	178.8	0.29	6.66	6.0	-23.05	92.70	0.065	0.00e+00	3.51e-04
7322	01/11/2008	01:00	4.10	110.0	2.29	9.60	292.9	0.39	6.03	7.0	-26.55	196.29	0.056	0.00e+00	3.56e-04
7323	01/11/2008	02:00	4.10	110.0	2.29	9.70	292.9	0.39	6.03	7.0	-26.54	196.38	0.056	0.00e+00	3.56e-04
7324	01/11/2008	03:00	1.90	110.0	1.05	8.80	127.9	0.16	8.82	7.0	-8.56	90.00	0.042	0.00e+00	3.52e-04
7325	01/11/2008	04:00	2.70	100.0	1.47	8.60	155.2	0.23	7.44	7.0	-15.74	90.00	0.056	0.00e+00	3.51e-04
7326	01/11/2008	05:00	4.00	90.0	2.23	9.00	280.3	0.38	6.10	7.0	-25.81	184.41	0.056	0.00e+00	3.53e-04
7327	01/11/2008	06:00	3.20	100.0	1.73	9.50	170.2	0.27	6.86	6.0	-21.52	90.00	0.065	0.00e+00	3.55e-04
7328	01/11/2008	07:00	2.90	60.0	1.58	10.90	161.3	0.25	7.19	7.0	-16.73	90.00	0.056	0.00e+00	3.62e-04
7329	01/11/2008	08:00	2.60	120.0	1.44	12.00	824.0	0.29	7.72	7.0	14.76	-139.47	-0.042	9.18e-04	3.68e-04
7330	01/11/2008	09:00	1.40	60.0	1.00	13.70	887.3	0.22	9.88	7.0	41.03	-21.83	-0.157	1.87e-03	3.77e-04
7331	01/11/2008	10:00	1.60	80.0	1.04	15.30	974.0	0.25	9.12	7.0	60.67	-23.12	-0.201	2.53e-03	3.85e-04
7332	01/11/2008	11:00	6.80	190.0	3.76	19.00	2054.5	0.71	4.76	7.0	72.63	-439.29	-0.086	2.90e-03	4.05e-04
7333	01/11/2008	12:00	8.50	190.0	4.70	18.60	2539.9	0.88	4.25	7.0	76.66	-786.34	-0.073	3.03e-03	4.03e-04
7334	01/11/2008	13:00	8.20	190.0	4.54	19.10	2591.9	0.85	4.32	7.0	72.63	-747.31	-0.072	2.90e-03	4.06e-04
7335	01/11/2008	14:00	10.70	200.0	5.93	19.40	3170.9	1.10	3.78	7.0	60.92	-1925.44	-0.047	2.53e-03	4.07e-04
7336	01/11/2008	15:00	10.70	190.0	5.93	19.00	3209.4	1.10	3.78	7.0	42.17	-2772.72	-0.032	1.87e-03	4.05e-04
7337	01/11/2008	16:00	6.40	200.0	3.56	18.00	3220.8	0.66	4.88	7.0	17.31	-1479.01	-0.022	9.18e-04	4.00e-04
7338	01/11/2008	17:00	3.20	210.0	1.75	16.20	184.2	0.28	6.83	7.0	-18.63	103.57	0.056	0.00e+00	3.90e-04
7339	01/11/2008	18:00	4.50	10.0	2.51	10.70	343.3	0.43	5.76	7.0	-29.54	245.83	0.056	0.00e+00	3.61e-04
7340	01/11/2008	19:00	2.70	360.0	1.47	9.90	155.2	0.23	7.44	7.0	-15.67	90.00	0.056	0.00e+00	3.57e-04
7341	01/11/2008	20:00	3.10	350.0	1.73	9.70	203.1	0.28	6.90	8.0	-15.62	127.90	0.045	0.00e+00	3.56e-04
7342	01/11/2008	21:00	2.70	30.0	1.47	9.70	155.2	0.23	7.44	7.0	-15.68	90.00	0.056	0.00e+00	3.56e-04
7343	01/11/2008	22:00	1.00	260.0	1.00	9.80	88.9	0.09	11.99	9.0	-1.70	90.00	0.016	-0.00e+00	3.57e-04
7344	01/11/2008	23:00	4.20	350.0	2.34	9.90	305.3	0.40	5.96	7.0	-27.30	208.23	0.056	0.00e+00	3.57e-04
7345	02/11/2008	00:00	3.10	350.0	1.73	9.80	203.1	0.28	6.90	8.0	-15.61	127.96	0.045	0.00e+00	3.57e-04
