   4.86420187759983        44.8396668174481     	0. 647500_4966500
   4.86507079513105        44.8630581662360     	0. 647500_4969500
   4.87267377819384        44.8921905109183     	0. 647500_4972500
   4.87383011952426        44.9164770879861     	0. 647500_4975500
   4.87321620913111        44.9412427206380     	0. 647500_4978500
   4.88253035671564        44.9702559395455     	0. 647500_4981500
   4.87297550030227        45.0008396545996     	0. 647500_4984500
   4.87251651746275        45.0233519420332     	0. 647500_4987500
   4.87063552120649        45.0544392137525     	0. 647500_4990500
   4.87208520264066        45.0739494217803     	0. 647500_4993500
   4.88363791614743        45.1061658543914     	0. 647500_4996500
   4.89132715841005        45.1384450236222     	0. 647500_4999500
   4.88381953933902        45.1645840801311     	0. 647500_5002500
   4.87817155908221        45.1859210806389     	0. 647500_5005500
   4.86823281486140        45.2101185250406     	0. 647500_5008500
   4.87402626724970        45.2395488341625     	0. 647500_5011500
   4.87901661818039        45.2718724264968     	0. 647500_5014500
   4.91808346914886        44.8185194038574     	0. 650500_4963500
   4.89911072595808        44.8362107659175     	0. 650500_4966500
   4.90490582289798        44.8650110578071     	0. 650500_4969500
   4.90342332866779        44.8922221003753     	0. 650500_4972500
   4.90427957093646        44.9193040009735     	0. 650500_4975500
   4.90349337389401        44.9419121775326     	0. 650500_4978500
   4.90249349379581        44.9665042630284     	0. 650500_4981500
   4.91541248825849        44.9968948591806     	0. 650500_4984500
   4.91110393636819        45.0245128952902     	0. 650500_4987500
   4.91565080988751        45.0588238019583     	0. 650500_4990500
   4.91463959508570        45.0734237253744     	0. 650500_4993500
   4.89880492302190        45.1158165478581     	0. 650500_4996500
   4.90402338047449        45.1301324315559     	0. 650500_4999500
   4.91281474019248        45.1557303920810     	0. 650500_5002500
   4.90566522229546        45.1961774461791     	0. 650500_5005500
   4.92486428425363        45.2067473503979     	0. 650500_5008500
   4.93898035948345        44.8913536639304     	0. 653500_4972500
   4.94049410148590        44.9175239212252     	0. 653500_4975500
   4.94014079103878        44.9439058366080     	0. 653500_4978500
   4.95117701912363        44.9662227043063     	0. 653500_4981500
   4.93254096687651        45.0078585923362     	0. 653500_4984500
   4.98218526670947        44.9078056067772     	0. 656500_4975500
   4.98329576892894        44.9371329305403     	0. 656500_4978500
   4.97073748494583        44.9793896505072     	0. 656500_4981500
   4.98967919781006        44.9927440394876     	0. 656500_4984500
   4.99037825952382        45.0228162332794     	0. 656500_4987500
   5.02516626500294        44.9687149611101     	0. 659500_4981500
   5.02696663014020        44.9985694568231     	0. 659500_4984500
   5.03423530006150        45.0178842868572     	0. 659500_4987500
   5.03221037063623        45.0481666477478     	0. 659500_4990500
   5.05327652898870        44.9980992724280     	0. 662500_4984500
   5.06151499097933        45.0275670519535     	0. 662500_4987500
   5.05966910885644        45.0475845167996     	0. 662500_4990500
   5.04936178509161        45.0757657225843     	0. 662500_4993500
   5.09598109460706        44.9959728903783     	0. 665500_4984500
   5.10139322340956        45.0301706350579     	0. 665500_4987500
   5.09290922544856        45.0485102615197     	0. 665500_4990500
   5.11470846220663        45.0645818886169     	0. 665500_4993500
   5.12857756422177        45.0323675454109     	0. 668500_4987500
   5.14172478665522        45.0434639911625     	0. 668500_4990500
   5.14062183107662        45.0717504579868     	0. 668500_4993500
   5.14072455559440        45.1013644567730     	0. 668500_4996500
   5.17584890268862        45.0201789405752     	0. 671500_4987500
   5.17758198970461        45.0521475398537     	0. 671500_4990500
   5.18031053964493        45.0798210914557     	0. 671500_4993500
   5.18414346472727        45.0927104132202     	0. 671500_4996500
   5.20410855104542        45.0580297408197     	0. 674500_4990500
   5.21321345142010        45.0727966121772     	0. 674500_4993500
   5.22577812752106        45.0940666272598     	0. 674500_4996500
   5.21734573746182        45.1270421847492     	0. 674500_4999500
   5.25965705716418        45.0546931814073     	0. 677500_4990500
   5.24295827562751        45.0628541251021     	0. 677500_4993500
   5.25040229533682        45.1049260820554     	0. 677500_4996500
   5.26800926754311        45.1178102122378     	0. 677500_4999500
   5.25715584643671        45.1530420965834     	0. 677500_5002500
   5.28907090357805        45.1008265357472     	0. 680500_4996500
   5.29294561847706        45.1283841884661     	0. 680500_4999500
   5.30738482796585        45.1449264754544     	0. 680500_5002500
   5.29383180256352        45.1793160817435     	0. 680500_5005500
   5.32949148237407        45.0971282215823     	0. 683500_4996500
   5.32360873507183        45.1350555349519     	0. 683500_4999500
   5.33704187848717        45.1522446472960     	0. 683500_5002500
   5.33756000146834        45.1739281409968     	0. 683500_5005500
   5.34290927713536        45.3558301839381     	0. 683500_5026500
   5.36844194123483        45.1246822467472     	0. 686500_4999500
   5.36076524201874        45.1589578372948     	0. 686500_5002500
   5.37799490909465        45.1755233838856     	0. 686500_5005500
   5.39006300410753        45.1944448990166     	0. 686500_5008500
   5.37397913630770        45.2316602510074     	0. 686500_5011500
   5.37694513991100        45.3460350900295     	0. 686500_5023500
   5.38130608764129        45.3605265581933     	0. 686500_5026500
   5.41052121585039        45.1516167239771     	0. 689500_5002500
   5.40383055723988        45.1830837365542     	0. 689500_5005500
   5.41270001301647        45.2053107487381     	0. 689500_5008500
   5.42298157501833        45.2237263528654     	0. 689500_5011500
   5.41539887651858        45.2584982249685     	0. 689500_5014500
   5.41806334176693        45.3400856689404     	0. 689500_5023500
   5.41969338953960        45.3648501464191     	0. 689500_5026500
   5.44809467007081        45.1770119984692     	0. 692500_5005500
   5.45103518493777        45.2075545650975     	0. 692500_5008500
   5.44270360446588        45.2309573815357     	0. 692500_5011500
   5.45868432245789        45.2582491866813     	0. 692500_5014500
   5.46950880955041        45.2733181883957     	0. 692500_5017500
   5.45971602939643        45.3083655983188     	0. 692500_5020500
   5.45543507284197        45.3377126397616     	0. 692500_5023500
   5.44257395063422        45.3689535865595     	0. 692500_5026500
   5.47423149977910        45.2138953504899     	0. 695500_5008500
   5.48596952423881        45.2307434016411     	0. 695500_5011500
   5.50437909295242        45.2507746114043     	0. 695500_5014500
   5.48742636585772        45.2871515951179     	0. 695500_5017500
   5.49637232086647        45.3053194293274     	0. 695500_5020500
   5.49824693579873        45.3334531331073     	0. 695500_5023500
   5.49613241604554        45.3643114214852     	0. 695500_5026500
   5.52410710357907        45.2300864285404     	0. 698500_5011500
   5.51631724785113        45.2631142746707     	0. 698500_5014500
   5.52147158377438        45.2830740242304     	0. 698500_5017500
   5.51742953391748        45.3161988729323     	0. 698500_5020500
   5.52773863008204        45.3322637620899     	0. 698500_5023500
   5.53465087624930        45.3638856809928     	0. 698500_5026500
   5.56832344539075        45.2549346610812     	0. 701500_5014500
   5.56485885883280        45.2815672198295     	0. 701500_5017500
   5.56798650488583        45.3090416155580     	0. 701500_5020500
   5.57181086285853        45.3363200948836     	0. 701500_5023500
   5.57291940423404        45.3630294909130     	0. 701500_5026500
